index,token_similarity,ast_similarity,overall_similarity,label
0,0.9940699,1.0,0.9958489120006562,1
1,0.99928427,1.0,0.999498987197876,1
2,0.9531779,0.42105263157894735,0.8224877081419292,0
3,0.9949575,1.0,0.9964702546596527,1
4,0.9953966,1.0,0.9967776298522949,1
5,0.99928427,1.0,0.999498987197876,1
6,0.95750725,0.42105263157894735,0.8255182347799602,0
7,0.9940699,1.0,0.9958489120006562,1
8,0.9715134,0.5714285714285714,0.8729165162358965,0
9,0.9953966,1.0,0.9967776298522949,1
10,0.99928427,1.0,0.999498987197876,1
11,0.96473145,0.5,0.8503120183944702,0
12,0.9609812,0.7272727272727273,0.904505014961416,0
13,0.9943431,1.0,0.9960401713848114,1
14,0.97123337,0.5,0.8548633575439453,0
15,0.95780146,0.55,0.8579610228538512,0
16,0.97712207,0.9285714285714286,0.9661283050264631,0
17,0.96954453,0.391304347826087,0.8265072578969209,0
18,0.9940699,1.0,0.9958489120006562,1
19,0.99527436,1.0,0.9966920554637909,1
20,0.99771523,1.0,0.9984006643295288,1
21,0.9932692,1.0,0.9952884435653686,1
22,0.98852026,1.0,0.9919641852378845,1
23,0.98198026,1.0,0.9873861849308014,1
24,0.97991073,0.5333333333333333,0.8692708452542622,0
